file_path,label
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\afkfqCzgSzc_out_time_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\afkfqCzgSzc_out_pitch_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\afkfqCzgSzc_out_speed_change.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\afkfqCzgSzc_out_add_noise.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\DO9kMW3f7Po_out_time_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\DO9kMW3f7Po_out_pitch_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\DO9kMW3f7Po_out_speed_change.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\DO9kMW3f7Po_out_add_noise.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\6THFGWLEn7w_out_time_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\6THFGWLEn7w_out_pitch_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\6THFGWLEn7w_out_speed_change.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\6THFGWLEn7w_out_add_noise.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\tjOt2iRa6kA_out_time_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\tjOt2iRa6kA_out_pitch_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\tjOt2iRa6kA_out_speed_change.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\tjOt2iRa6kA_out_add_noise.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\idqf7NcN1VM_out_time_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\idqf7NcN1VM_out_pitch_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\idqf7NcN1VM_out_speed_change.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\idqf7NcN1VM_out_add_noise.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\uw4Ixj35j3g_out_time_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\uw4Ixj35j3g_out_pitch_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\uw4Ixj35j3g_out_speed_change.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\uw4Ixj35j3g_out_add_noise.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\4hew3HeE1LI_out_time_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\4hew3HeE1LI_out_pitch_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\4hew3HeE1LI_out_speed_change.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\4hew3HeE1LI_out_add_noise.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0yRn5wEopkQ_out_time_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0yRn5wEopkQ_out_pitch_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0yRn5wEopkQ_out_speed_change.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0yRn5wEopkQ_out_add_noise.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0Nw1OyTsaAo_out_time_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0Nw1OyTsaAo_out_pitch_shift.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0Nw1OyTsaAo_out_speed_change.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\0Nw1OyTsaAo_out_add_noise.wav,yes
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\gXGvMW-GN2Y_out_time_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\gXGvMW-GN2Y_out_pitch_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\gXGvMW-GN2Y_out_speed_change.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\gXGvMW-GN2Y_out_add_noise.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\3Xoz87_SUdw_out_time_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\3Xoz87_SUdw_out_pitch_shift.wav,no
D:\Ashraf\NCI\Semester 3\Code\augmented_data_new\3Xoz87_SUdw_out_speed_change.wav,no
